,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
11904,[-6.77959824e-25 -1.16219353e-25],[-2.12878339e+00  1.90901073e-10],[-1.93906181e-01  1.81300803e-12],[-1.86503000e+00  1.42945623e-10],[-2.12878339e+00  1.90901073e-10],[-7.14880497e-13 -4.99999950e-03]
11905,[-6.77959824e-25 -1.16219353e-25],[-2.12857051e+00  1.89513294e-10],[-1.93850825e-01  1.81300803e-12],[-1.86482277e+00  1.42945623e-10],[-2.12857051e+00  1.89513294e-10],[-7.14880497e-13  4.99999950e-03]
11906,[-6.77959824e-25 -1.16219353e-25],[-2.12835765e+00  1.88125515e-10],[-1.93795486e-01  1.81300803e-12],[-1.86461556e+00  1.42945623e-10],[-2.12835765e+00  1.88125515e-10],[-7.14880497e-13 -4.99999950e-03]
11907,[-6.77959824e-25 -1.16219353e-25],[-2.12814482e+00  1.86737736e-10],[-1.93740162e-01  1.81300803e-12],[-1.86440838e+00  1.42945623e-10],[-2.12814482e+00  1.86737736e-10],[-7.14880497e-13  4.99999950e-03]
11908,[-6.77959824e-25 -1.16219353e-25],[-2.12793200e+00  1.85349958e-10],[-1.93684854e-01  1.81300803e-12],[-1.86420122e+00  1.42945623e-10],[-2.12793200e+00  1.85349958e-10],[-7.14880497e-13 -4.99999950e-03]
11909,[-6.77959824e-25 -1.16219353e-25],[-2.12771921e+00  1.83962179e-10],[-1.93629562e-01  1.81300803e-12],[-1.86399409e+00  1.42945623e-10],[-2.12771921e+00  1.83962179e-10],[-7.14880497e-13  4.99999950e-03]
11910,[-6.77959824e-25 -1.16219353e-25],[-2.12750644e+00  1.82574400e-10],[-1.93574286e-01  1.81300803e-12],[-1.86378697e+00  1.42945623e-10],[-2.12750644e+00  1.82574400e-10],[-7.14880497e-13 -4.99999950e-03]
11911,[-6.77959824e-25 -1.16219353e-25],[-2.12729369e+00  1.81186621e-10],[-1.93519025e-01  1.81300803e-12],[-1.86357988e+00  1.42945623e-10],[-2.12729369e+00  1.81186621e-10],[-7.14880497e-13  4.99999950e-03]
11912,[-6.77959824e-25 -1.16219353e-25],[-2.12708096e+00  1.79798842e-10],[-1.93463781e-01  1.81300803e-12],[-1.86337282e+00  1.42945623e-10],[-2.12708096e+00  1.79798842e-10],[-7.14880497e-13 -4.99999950e-03]
11913,[-6.77959824e-25 -1.16219353e-25],[-2.12686825e+00  1.78411064e-10],[-1.93408552e-01  1.81300803e-12],[-1.86316577e+00  1.42945623e-10],[-2.12686825e+00  1.78411064e-10],[-7.14880497e-13  4.99999950e-03]
11914,[-6.77959824e-25 -1.16219353e-25],[-2.12665556e+00  1.77023285e-10],[-1.93353339e-01  1.81300803e-12],[-1.86295875e+00  1.42945623e-10],[-2.12665556e+00  1.77023285e-10],[-7.14880497e-13 -4.99999950e-03]
11915,[-6.77959824e-25 -1.16219353e-25],[-2.12644290e+00  1.75635506e-10],[-1.93298141e-01  1.81300803e-12],[-1.86275175e+00  1.42945623e-10],[-2.12644290e+00  1.75635506e-10],[-7.14880497e-13  4.99999950e-03]
11916,[-6.77959824e-25 -1.16219353e-25],[-2.12623025e+00  1.74247727e-10],[-1.93242960e-01  1.81300803e-12],[-1.86254478e+00  1.42945623e-10],[-2.12623025e+00  1.74247727e-10],[-7.14880497e-13 -4.99999950e-03]
11917,[-6.77959824e-25 -1.16219353e-25],[-2.12601763e+00  1.72859949e-10],[-1.93187794e-01  1.81300803e-12],[-1.86233783e+00  1.42945623e-10],[-2.12601763e+00  1.72859949e-10],[-7.14880497e-13  4.99999950e-03]
11918,[-6.77959824e-25 -1.16219353e-25],[-2.12580503e+00  1.71472170e-10],[-1.93132644e-01  1.81300803e-12],[-1.86213090e+00  1.42945623e-10],[-2.12580503e+00  1.71472170e-10],[-7.14880497e-13 -4.99999950e-03]
11919,[-6.77959824e-25 -1.16219353e-25],[-2.12559245e+00  1.70084391e-10],[-1.93077509e-01  1.81300803e-12],[-1.86192399e+00  1.42945623e-10],[-2.12559245e+00  1.70084391e-10],[-7.14880497e-13  4.99999950e-03]
11920,[-6.77959824e-25 -1.16219353e-25],[-2.12537989e+00  1.68696612e-10],[-1.93022391e-01  1.81300803e-12],[-1.86171711e+00  1.42945623e-10],[-2.12537989e+00  1.68696612e-10],[-7.14880497e-13 -4.99999950e-03]
11921,[-6.77959824e-25 -1.16219353e-25],[-2.12516735e+00  1.67308833e-10],[-1.92967288e-01  1.81300803e-12],[-1.86151025e+00  1.42945623e-10],[-2.12516735e+00  1.67308833e-10],[-7.14880497e-13  4.99999950e-03]
11922,[-6.77959824e-25 -1.16219353e-25],[-2.12495483e+00  1.65921055e-10],[-1.92912201e-01  1.81300803e-12],[-1.86130341e+00  1.42945623e-10],[-2.12495483e+00  1.65921055e-10],[-7.14880497e-13 -4.99999950e-03]
11923,[-6.77959824e-25 -1.16219353e-25],[-2.12474234e+00  1.64533276e-10],[-1.92857129e-01  1.81300803e-12],[-1.86109660e+00  1.42945623e-10],[-2.12474234e+00  1.64533276e-10],[-7.14880497e-13  4.99999950e-03]
11924,[-6.77959824e-25 -1.16219353e-25],[-2.12452986e+00  1.63145497e-10],[-1.92802074e-01  1.81300803e-12],[-1.86088981e+00  1.42945623e-10],[-2.12452986e+00  1.63145497e-10],[-7.14880497e-13 -4.99999950e-03]
11925,[-6.77959824e-25 -1.16219353e-25],[-2.12431741e+00  1.61757718e-10],[-1.92747034e-01  1.81300803e-12],[-1.86068304e+00  1.42945623e-10],[-2.12431741e+00  1.61757718e-10],[-7.14880497e-13  4.99999950e-03]
11926,[-6.77959824e-25 -1.16219353e-25],[-2.12410498e+00  1.60369940e-10],[-1.92692009e-01  1.81300803e-12],[-1.86047629e+00  1.42945623e-10],[-2.12410498e+00  1.60369940e-10],[-7.14880497e-13 -4.99999950e-03]
11927,[-6.77959824e-25 -1.16219353e-25],[-2.12389257e+00  1.58982161e-10],[-1.92637001e-01  1.81300803e-12],[-1.86026957e+00  1.42945623e-10],[-2.12389257e+00  1.58982161e-10],[-7.14880497e-13  4.99999950e-03]
11928,[-6.77959824e-25 -1.16219353e-25],[-2.12368018e+00  1.57594382e-10],[-1.92582008e-01  1.81300803e-12],[-1.86006287e+00  1.42945623e-10],[-2.12368018e+00  1.57594382e-10],[-7.14880497e-13 -4.99999950e-03]
11929,[-6.77959824e-25 -1.16219353e-25],[-2.12346781e+00  1.56206603e-10],[-1.92527031e-01  1.81300803e-12],[-1.85985620e+00  1.42945623e-10],[-2.12346781e+00  1.56206603e-10],[-7.14880497e-13  4.99999950e-03]
11930,[-6.77959824e-25 -1.16219353e-25],[-2.12325546e+00  1.54818824e-10],[-1.92472070e-01  1.81300803e-12],[-1.85964954e+00  1.42945623e-10],[-2.12325546e+00  1.54818824e-10],[-7.14880497e-13 -4.99999950e-03]
11931,[-6.77959824e-25 -1.16219353e-25],[-2.12304314e+00  1.53431046e-10],[-1.92417124e-01  1.81300803e-12],[-1.85944291e+00  1.42945623e-10],[-2.12304314e+00  1.53431046e-10],[-7.14880497e-13  4.99999950e-03]
11932,[-6.77959824e-25 -1.16219353e-25],[-2.12283083e+00  1.52043267e-10],[-1.92362194e-01  1.81300803e-12],[-1.85923631e+00  1.42945623e-10],[-2.12283083e+00  1.52043267e-10],[-7.14880497e-13 -4.99999950e-03]
11933,[-6.77959824e-25 -1.16219353e-25],[-2.12261855e+00  1.50655488e-10],[-1.92307280e-01  1.81300803e-12],[-1.85902972e+00  1.42945623e-10],[-2.12261855e+00  1.50655488e-10],[-7.14880497e-13  4.99999950e-03]
11934,[-6.77959824e-25 -1.16219353e-25],[-2.12240629e+00  1.49267709e-10],[-1.92252381e-01  1.81300803e-12],[-1.85882316e+00  1.42945623e-10],[-2.12240629e+00  1.49267709e-10],[-7.14880497e-13 -4.99999950e-03]
11935,[-6.77959824e-25 -1.16219353e-25],[-2.12219405e+00  1.47879931e-10],[-1.92197498e-01  1.81300803e-12],[-1.85861662e+00  1.42945623e-10],[-2.12219405e+00  1.47879931e-10],[-7.14880497e-13  4.99999950e-03]
11936,[-6.77959824e-25 -1.16219353e-25],[-2.12198183e+00  1.46492152e-10],[-1.92142631e-01  1.81300803e-12],[-1.85841011e+00  1.42945623e-10],[-2.12198183e+00  1.46492152e-10],[-7.14880497e-13 -4.99999950e-03]
11937,[-6.77959824e-25 -1.16219353e-25],[-2.12176963e+00  1.45104373e-10],[-1.92087779e-01  1.81300803e-12],[-1.85820361e+00  1.42945623e-10],[-2.12176963e+00  1.45104373e-10],[-7.14880497e-13  4.99999950e-03]
11938,[-6.77959824e-25 -1.16219353e-25],[-2.12155745e+00  1.43716594e-10],[-1.92032943e-01  1.81300803e-12],[-1.85799714e+00  1.42945623e-10],[-2.12155745e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11939,[-6.77959824e-25 -1.16219353e-25],[-2.12134530e+00  1.43716594e-10],[-1.91978123e-01  1.81300803e-12],[-1.85779070e+00  1.42945623e-10],[-2.12134530e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11940,[-6.77959824e-25 -1.16219353e-25],[-2.12113316e+00  1.43716594e-10],[-1.91923319e-01  1.81300803e-12],[-1.85758427e+00  1.42945623e-10],[-2.12113316e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11941,[-6.77959824e-25 -1.16219353e-25],[-2.12092105e+00  1.43716594e-10],[-1.91868530e-01  1.81300803e-12],[-1.85737787e+00  1.42945623e-10],[-2.12092105e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11942,[-6.77959824e-25 -1.16219353e-25],[-2.12070896e+00  1.43716594e-10],[-1.91813756e-01  1.81300803e-12],[-1.85717149e+00  1.42945623e-10],[-2.12070896e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11943,[-6.77959824e-25 -1.16219353e-25],[-2.12049689e+00  1.43716594e-10],[-1.91758999e-01  1.81300803e-12],[-1.85696514e+00  1.42945623e-10],[-2.12049689e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11944,[-6.77959824e-25 -1.16219353e-25],[-2.12028484e+00  1.43716594e-10],[-1.91704257e-01  1.81300803e-12],[-1.85675881e+00  1.42945623e-10],[-2.12028484e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11945,[-6.77959824e-25 -1.16219353e-25],[-2.12007281e+00  1.43716594e-10],[-1.91649530e-01  1.81300803e-12],[-1.85655250e+00  1.42945623e-10],[-2.12007281e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11946,[-6.77959824e-25 -1.16219353e-25],[-2.11986080e+00  1.43716594e-10],[-1.91594820e-01  1.81300803e-12],[-1.85634621e+00  1.42945623e-10],[-2.11986080e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11947,[-6.77959824e-25 -1.16219353e-25],[-2.11964882e+00  1.43716594e-10],[-1.91540124e-01  1.81300803e-12],[-1.85613995e+00  1.42945623e-10],[-2.11964882e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11948,[-6.77959824e-25 -1.16219353e-25],[-2.11943685e+00  1.43716594e-10],[-1.91485445e-01  1.81300803e-12],[-1.85593371e+00  1.42945623e-10],[-2.11943685e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11949,[-6.77959824e-25 -1.16219353e-25],[-2.11922491e+00  1.43716594e-10],[-1.91430781e-01  1.81300803e-12],[-1.85572749e+00  1.42945623e-10],[-2.11922491e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11950,[-6.77959824e-25 -1.16219353e-25],[-2.11901299e+00  1.43716594e-10],[-1.91376133e-01  1.81300803e-12],[-1.85552130e+00  1.42945623e-10],[-2.11901299e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11951,[-6.77959824e-25 -1.16219353e-25],[-2.11880108e+00  1.43716594e-10],[-1.91321500e-01  1.81300803e-12],[-1.85531513e+00  1.42945623e-10],[-2.11880108e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11952,[-6.77959824e-25 -1.16219353e-25],[-2.11858920e+00  1.43716594e-10],[-1.91266883e-01  1.81300803e-12],[-1.85510898e+00  1.42945623e-10],[-2.11858920e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11953,[-6.77959824e-25 -1.16219353e-25],[-2.11837735e+00  1.43716594e-10],[-1.91212282e-01  1.81300803e-12],[-1.85490285e+00  1.42945623e-10],[-2.11837735e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11954,[-6.77959824e-25 -1.16219353e-25],[-2.11816551e+00  1.43716594e-10],[-1.91157696e-01  1.81300803e-12],[-1.85469675e+00  1.42945623e-10],[-2.11816551e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11955,[-6.77959824e-25 -1.16219353e-25],[-2.11795369e+00  1.43716594e-10],[-1.91103125e-01  1.81300803e-12],[-1.85449067e+00  1.42945623e-10],[-2.11795369e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11956,[-6.77959824e-25 -1.16219353e-25],[-2.11774190e+00  1.43716594e-10],[-1.91048571e-01  1.81300803e-12],[-1.85428461e+00  1.42945623e-10],[-2.11774190e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11957,[-6.77959824e-25 -1.16219353e-25],[-2.11753012e+00  1.43716594e-10],[-1.90994032e-01  1.81300803e-12],[-1.85407858e+00  1.42945623e-10],[-2.11753012e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11958,[-6.77959824e-25 -1.16219353e-25],[-2.11731837e+00  1.43716594e-10],[-1.90939508e-01  1.81300803e-12],[-1.85387257e+00  1.42945623e-10],[-2.11731837e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11959,[-6.77959824e-25 -1.16219353e-25],[-2.11710664e+00  1.43716594e-10],[-1.90885000e-01  1.81300803e-12],[-1.85366658e+00  1.42945623e-10],[-2.11710664e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11960,[-6.77959824e-25 -1.16219353e-25],[-2.11689493e+00  1.43716594e-10],[-1.90830508e-01  1.81300803e-12],[-1.85346061e+00  1.42945623e-10],[-2.11689493e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11961,[-6.77959824e-25 -1.16219353e-25],[-2.11668324e+00  1.43716594e-10],[-1.90776031e-01  1.81300803e-12],[-1.85325467e+00  1.42945623e-10],[-2.11668324e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11962,[-6.77959824e-25 -1.16219353e-25],[-2.11647157e+00  1.43716594e-10],[-1.90721570e-01  1.81300803e-12],[-1.85304875e+00  1.42945623e-10],[-2.11647157e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11963,[-6.77959824e-25 -1.16219353e-25],[-2.11625992e+00  1.43716594e-10],[-1.90667124e-01  1.81300803e-12],[-1.85284285e+00  1.42945623e-10],[-2.11625992e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11964,[-6.77959824e-25 -1.16219353e-25],[-2.11604829e+00  1.43716594e-10],[-1.90612694e-01  1.81300803e-12],[-1.85263698e+00  1.42945623e-10],[-2.11604829e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11965,[-6.77959824e-25 -1.16219353e-25],[-2.11583669e+00  1.43716594e-10],[-1.90558279e-01  1.81300803e-12],[-1.85243113e+00  1.42945623e-10],[-2.11583669e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11966,[-6.77959824e-25 -1.16219353e-25],[-2.11562511e+00  1.43716594e-10],[-1.90503880e-01  1.81300803e-12],[-1.85222530e+00  1.42945623e-10],[-2.11562511e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11967,[-6.77959824e-25 -1.16219353e-25],[-2.11541354e+00  1.43716594e-10],[-1.90449497e-01  1.81300803e-12],[-1.85201949e+00  1.42945623e-10],[-2.11541354e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11968,[-6.77959824e-25 -1.16219353e-25],[-2.11520200e+00  1.43716594e-10],[-1.90395129e-01  1.81300803e-12],[-1.85181371e+00  1.42945623e-10],[-2.11520200e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11969,[-6.77959824e-25 -1.16219353e-25],[-2.11499048e+00  1.43716594e-10],[-1.90340776e-01  1.81300803e-12],[-1.85160795e+00  1.42945623e-10],[-2.11499048e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11970,[-6.77959824e-25 -1.16219353e-25],[-2.11477898e+00  1.43716594e-10],[-1.90286439e-01  1.81300803e-12],[-1.85140222e+00  1.42945623e-10],[-2.11477898e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11971,[-6.77959824e-25 -1.16219353e-25],[-2.11456751e+00  1.43716594e-10],[-1.90232118e-01  1.81300803e-12],[-1.85119650e+00  1.42945623e-10],[-2.11456751e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11972,[-6.77959824e-25 -1.16219353e-25],[-2.11435605e+00  1.43716594e-10],[-1.90177812e-01  1.81300803e-12],[-1.85099081e+00  1.42945623e-10],[-2.11435605e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11973,[-6.77959824e-25 -1.16219353e-25],[-2.11414461e+00  1.43716594e-10],[-1.90123522e-01  1.81300803e-12],[-1.85078514e+00  1.42945623e-10],[-2.11414461e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11974,[-6.77959824e-25 -1.16219353e-25],[-2.11393320e+00  1.43716594e-10],[-1.90069247e-01  1.81300803e-12],[-1.85057950e+00  1.42945623e-10],[-2.11393320e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11975,[-6.77959824e-25 -1.16219353e-25],[-2.11372181e+00  1.43716594e-10],[-1.90014987e-01  1.81300803e-12],[-1.85037387e+00  1.42945623e-10],[-2.11372181e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11976,[-6.77959824e-25 -1.16219353e-25],[-2.11351043e+00  1.43716594e-10],[-1.89960743e-01  1.81300803e-12],[-1.85016827e+00  1.42945623e-10],[-2.11351043e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11977,[-6.77959824e-25 -1.16219353e-25],[-2.11329908e+00  1.43716594e-10],[-1.89906515e-01  1.81300803e-12],[-1.84996270e+00  1.42945623e-10],[-2.11329908e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11978,[-6.77959824e-25 -1.16219353e-25],[-2.11308775e+00  1.43716594e-10],[-1.89852302e-01  1.81300803e-12],[-1.84975714e+00  1.42945623e-10],[-2.11308775e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11979,[-6.77959824e-25 -1.16219353e-25],[-2.11287644e+00  1.43716594e-10],[-1.89798105e-01  1.81300803e-12],[-1.84955161e+00  1.42945623e-10],[-2.11287644e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11980,[-6.77959824e-25 -1.16219353e-25],[-2.11266516e+00  1.43716594e-10],[-1.89743923e-01  1.81300803e-12],[-1.84934610e+00  1.42945623e-10],[-2.11266516e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11981,[-6.77959824e-25 -1.16219353e-25],[-2.11245389e+00  1.43716594e-10],[-1.89689756e-01  1.81300803e-12],[-1.84914062e+00  1.42945623e-10],[-2.11245389e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11982,[-6.77959824e-25 -1.16219353e-25],[-2.11224264e+00  1.43716594e-10],[-1.89635605e-01  1.81300803e-12],[-1.84893516e+00  1.42945623e-10],[-2.11224264e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11983,[-6.77959824e-25 -1.16219353e-25],[-2.11203142e+00  1.43716594e-10],[-1.89581470e-01  1.81300803e-12],[-1.84872972e+00  1.42945623e-10],[-2.11203142e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11984,[-6.77959824e-25 -1.16219353e-25],[-2.11182022e+00  1.43716594e-10],[-1.89527350e-01  1.81300803e-12],[-1.84852430e+00  1.42945623e-10],[-2.11182022e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11985,[-6.77959824e-25 -1.16219353e-25],[-2.11160903e+00  1.43716594e-10],[-1.89473245e-01  1.81300803e-12],[-1.84831891e+00  1.42945623e-10],[-2.11160903e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11986,[-6.77959824e-25 -1.16219353e-25],[-2.11139787e+00  1.43716594e-10],[-1.89419156e-01  1.81300803e-12],[-1.84811353e+00  1.42945623e-10],[-2.11139787e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11987,[-6.77959824e-25 -1.16219353e-25],[-2.11118673e+00  1.43716594e-10],[-1.89365082e-01  1.81300803e-12],[-1.84790819e+00  1.42945623e-10],[-2.11118673e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11988,[-6.77959824e-25 -1.16219353e-25],[-2.11097561e+00  1.43716594e-10],[-1.89311024e-01  1.81300803e-12],[-1.84770286e+00  1.42945623e-10],[-2.11097561e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11989,[-6.77959824e-25 -1.16219353e-25],[-2.11076452e+00  1.43716594e-10],[-1.89256981e-01  1.81300803e-12],[-1.84749756e+00  1.42945623e-10],[-2.11076452e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11990,[-6.77959824e-25 -1.16219353e-25],[-2.11055344e+00  1.43716594e-10],[-1.89202954e-01  1.81300803e-12],[-1.84729228e+00  1.42945623e-10],[-2.11055344e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11991,[-6.77959824e-25 -1.16219353e-25],[-2.11034239e+00  1.43716594e-10],[-1.89148942e-01  1.81300803e-12],[-1.84708702e+00  1.42945623e-10],[-2.11034239e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11992,[-6.77959824e-25 -1.16219353e-25],[-2.11013135e+00  1.43716594e-10],[-1.89094945e-01  1.81300803e-12],[-1.84688179e+00  1.42945623e-10],[-2.11013135e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11993,[-6.77959824e-25 -1.16219353e-25],[-2.10992034e+00  1.43716594e-10],[-1.89040964e-01  1.81300803e-12],[-1.84667657e+00  1.42945623e-10],[-2.10992034e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11994,[-6.77959824e-25 -1.16219353e-25],[-2.10970935e+00  1.43716594e-10],[-1.88986999e-01  1.81300803e-12],[-1.84647139e+00  1.42945623e-10],[-2.10970935e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11995,[-6.77959824e-25 -1.16219353e-25],[-2.10949838e+00  1.43716594e-10],[-1.88933048e-01  1.81300803e-12],[-1.84626622e+00  1.42945623e-10],[-2.10949838e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11996,[-6.77959824e-25 -1.16219353e-25],[-2.10928743e+00  1.43716594e-10],[-1.88879113e-01  1.81300803e-12],[-1.84606108e+00  1.42945623e-10],[-2.10928743e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11997,[-6.77959824e-25 -1.16219353e-25],[-2.10907650e+00  1.43716594e-10],[-1.88825194e-01  1.81300803e-12],[-1.84585596e+00  1.42945623e-10],[-2.10907650e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
11998,[-6.77959824e-25 -1.16219353e-25],[-2.10886559e+00  1.43716594e-10],[-1.88771290e-01  1.81300803e-12],[-1.84565086e+00  1.42945623e-10],[-2.10886559e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
11999,[-6.77959824e-25 -1.16219353e-25],[-2.10865470e+00  1.43716594e-10],[-1.88717401e-01  1.81300803e-12],[-1.84544578e+00  1.42945623e-10],[-2.10865470e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12000,[-6.77959824e-25 -1.16219353e-25],[-2.10844384e+00  1.43716594e-10],[-1.88663528e-01  1.81300803e-12],[-1.84524073e+00  1.42945623e-10],[-2.10844384e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12001,[-6.77959824e-25 -1.16219353e-25],[-2.10823299e+00  1.43716594e-10],[-1.88609670e-01  1.81300803e-12],[-1.84503570e+00  1.42945623e-10],[-2.10823299e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12002,[-6.77959824e-25 -1.16219353e-25],[-2.10802217e+00  1.43716594e-10],[-1.88555828e-01  1.81300803e-12],[-1.84483070e+00  1.42945623e-10],[-2.10802217e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12003,[-6.77959824e-25 -1.16219353e-25],[-2.10781137e+00  1.43716594e-10],[-1.88502000e-01  1.81300803e-12],[-1.84462571e+00  1.42945623e-10],[-2.10781137e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12004,[-6.77959824e-25 -1.16219353e-25],[-2.10760059e+00  1.43716594e-10],[-1.88448189e-01  1.81300803e-12],[-1.84442075e+00  1.42945623e-10],[-2.10760059e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12005,[-6.77959824e-25 -1.16219353e-25],[-2.10738983e+00  1.43716594e-10],[-1.88394392e-01  1.81300803e-12],[-1.84421581e+00  1.42945623e-10],[-2.10738983e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12006,[-6.77959824e-25 -1.16219353e-25],[-2.10717909e+00  1.43716594e-10],[-1.88340611e-01  1.81300803e-12],[-1.84401090e+00  1.42945623e-10],[-2.10717909e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12007,[-6.77959824e-25 -1.16219353e-25],[-2.10696837e+00  1.43716594e-10],[-1.88286846e-01  1.81300803e-12],[-1.84380600e+00  1.42945623e-10],[-2.10696837e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12008,[-6.77959824e-25 -1.16219353e-25],[-2.10675767e+00  1.43716594e-10],[-1.88233095e-01  1.81300803e-12],[-1.84360113e+00  1.42945623e-10],[-2.10675767e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12009,[-6.77959824e-25 -1.16219353e-25],[-2.10654700e+00  1.43716594e-10],[-1.88179360e-01  1.81300803e-12],[-1.84339629e+00  1.42945623e-10],[-2.10654700e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12010,[-6.77959824e-25 -1.16219353e-25],[-2.10633634e+00  1.43716594e-10],[-1.88125641e-01  1.81300803e-12],[-1.84319146e+00  1.42945623e-10],[-2.10633634e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12011,[-6.77959824e-25 -1.16219353e-25],[-2.10612571e+00  1.43716594e-10],[-1.88071936e-01  1.81300803e-12],[-1.84298666e+00  1.42945623e-10],[-2.10612571e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12012,[-6.77959824e-25 -1.16219353e-25],[-2.10591510e+00  1.43716594e-10],[-1.88018248e-01  1.81300803e-12],[-1.84278188e+00  1.42945623e-10],[-2.10591510e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
12013,[-6.77959824e-25 -1.16219353e-25],[-2.10570450e+00  1.43716594e-10],[-1.87964574e-01  1.81300803e-12],[-1.84257713e+00  1.42945623e-10],[-2.10570450e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
12014,[-6.77959824e-25 -1.16219353e-25],[-2.10549393e+00  1.43716594e-10],[-1.87910916e-01  1.81300803e-12],[-1.84237239e+00  1.42945623e-10],[-2.10549393e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
