,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
17522,[-6.77959824e-25 -1.16219353e-25],[-1.21375948e+00  1.43716594e-10],[-3.90034565e-02  1.32253369e-13],[-9.99013017e-01  3.03813440e-11],[-1.21375948e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17523,[-6.77959824e-25 -1.16219353e-25],[-1.21363810e+00  1.43716594e-10],[-3.89923249e-02  1.32253369e-13],[-9.98902014e-01  3.03813440e-11],[-1.21363810e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17524,[-6.77959824e-25 -1.16219353e-25],[-1.21351674e+00  1.43716594e-10],[-3.89811964e-02  1.32253369e-13],[-9.98791023e-01  3.03813440e-11],[-1.21351674e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17525,[-6.77959824e-25 -1.16219353e-25],[-1.21339539e+00  1.43716594e-10],[-3.89700711e-02  1.32253369e-13],[-9.98680045e-01  3.03813440e-11],[-1.21339539e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17526,[-6.77959824e-25 -1.16219353e-25],[-1.21327405e+00  1.43716594e-10],[-3.89589490e-02  1.32253369e-13],[-9.98569079e-01  3.03813440e-11],[-1.21327405e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17527,[-6.77959824e-25 -1.16219353e-25],[-1.21315272e+00  1.43716594e-10],[-3.89478301e-02  1.32253369e-13],[-9.98458126e-01  3.03813440e-11],[-1.21315272e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17528,[-6.77959824e-25 -1.16219353e-25],[-1.21303140e+00  1.43716594e-10],[-3.89367143e-02  1.32253369e-13],[-9.98347185e-01  3.03813440e-11],[-1.21303140e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17529,[-6.77959824e-25 -1.16219353e-25],[-1.21291010e+00  1.43716594e-10],[-3.89256018e-02  1.32253369e-13],[-9.98236256e-01  3.03813440e-11],[-1.21291010e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17530,[-6.77959824e-25 -1.16219353e-25],[-1.21278881e+00  1.43716594e-10],[-3.89144923e-02  1.32253369e-13],[-9.98125339e-01  3.03813440e-11],[-1.21278881e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17531,[-6.77959824e-25 -1.16219353e-25],[-1.21266753e+00  1.43716594e-10],[-3.89033861e-02  1.32253369e-13],[-9.98014435e-01  3.03813440e-11],[-1.21266753e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17532,[-6.77959824e-25 -1.16219353e-25],[-1.21254626e+00  1.43716594e-10],[-3.88922830e-02  1.32253369e-13],[-9.97903543e-01  3.03813440e-11],[-1.21254626e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17533,[-6.77959824e-25 -1.16219353e-25],[-1.21242501e+00  1.43716594e-10],[-3.88811831e-02  1.32253369e-13],[-9.97792664e-01  3.03813440e-11],[-1.21242501e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17534,[-6.77959824e-25 -1.16219353e-25],[-1.21230377e+00  1.43716594e-10],[-3.88700864e-02  1.32253369e-13],[-9.97681797e-01  3.03813440e-11],[-1.21230377e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17535,[-6.77959824e-25 -1.16219353e-25],[-1.21218254e+00  1.43716594e-10],[-3.88589928e-02  1.32253369e-13],[-9.97570942e-01  3.03813440e-11],[-1.21218254e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17536,[-6.77959824e-25 -1.16219353e-25],[-1.21206132e+00  1.43716594e-10],[-3.88479024e-02  1.32253369e-13],[-9.97460099e-01  3.03813440e-11],[-1.21206132e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17537,[-6.77959824e-25 -1.16219353e-25],[-1.21194011e+00  1.43716594e-10],[-3.88368152e-02  1.32253369e-13],[-9.97349269e-01  3.03813440e-11],[-1.21194011e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17538,[-6.77959824e-25 -1.16219353e-25],[-1.21181892e+00  1.43716594e-10],[-3.88257311e-02  1.32253369e-13],[-9.97238451e-01  3.03813440e-11],[-1.21181892e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17539,[-6.77959824e-25 -1.16219353e-25],[-1.21169774e+00  1.43716594e-10],[-3.88146502e-02  1.32253369e-13],[-9.97127645e-01  3.03813440e-11],[-1.21169774e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17540,[-6.77959824e-25 -1.16219353e-25],[-1.21157657e+00  1.43716594e-10],[-3.88035725e-02  1.32253369e-13],[-9.97016852e-01  3.03813440e-11],[-1.21157657e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17541,[-6.77959824e-25 -1.16219353e-25],[-1.21145541e+00  1.43716594e-10],[-3.87924979e-02  1.32253369e-13],[-9.96906071e-01  3.03813440e-11],[-1.21145541e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17542,[-6.77959824e-25 -1.16219353e-25],[-1.21133426e+00  1.43716594e-10],[-3.87814264e-02  1.32253369e-13],[-9.96795302e-01  3.03813440e-11],[-1.21133426e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17543,[-6.77959824e-25 -1.16219353e-25],[-1.21121313e+00  1.43716594e-10],[-3.87703582e-02  1.32253369e-13],[-9.96684546e-01  3.03813440e-11],[-1.21121313e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17544,[-6.77959824e-25 -1.16219353e-25],[-1.21109201e+00  1.43716594e-10],[-3.87592931e-02  1.32253369e-13],[-9.96573802e-01  3.03813440e-11],[-1.21109201e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17545,[-6.77959824e-25 -1.16219353e-25],[-1.21097090e+00  1.43716594e-10],[-3.87482311e-02  1.32253369e-13],[-9.9646307e-01  3.0381344e-11],[-1.21097090e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17546,[-6.77959824e-25 -1.16219353e-25],[-1.21084980e+00  1.43716594e-10],[-3.87371723e-02  1.32253369e-13],[-9.9635235e-01  3.0381344e-11],[-1.21084980e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17547,[-6.77959824e-25 -1.16219353e-25],[-1.21072872e+00  1.43716594e-10],[-3.87261167e-02  1.32253369e-13],[-9.96241643e-01  3.03813440e-11],[-1.21072872e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17548,[-6.77959824e-25 -1.16219353e-25],[-1.21060764e+00  1.43716594e-10],[-3.87150642e-02  1.32253369e-13],[-9.96130948e-01  3.03813440e-11],[-1.21060764e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17549,[-6.77959824e-25 -1.16219353e-25],[-1.21048658e+00  1.43716594e-10],[-3.87040149e-02  1.32253369e-13],[-9.96020266e-01  3.03813440e-11],[-1.21048658e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17550,[-6.77959824e-25 -1.16219353e-25],[-1.21036553e+00  1.43716594e-10],[-3.86929687e-02  1.32253369e-13],[-9.95909595e-01  3.03813440e-11],[-1.21036553e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17551,[-6.77959824e-25 -1.16219353e-25],[-1.21024450e+00  1.43716594e-10],[-3.86819257e-02  1.32253369e-13],[-9.95798937e-01  3.03813440e-11],[-1.21024450e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17552,[-6.77959824e-25 -1.16219353e-25],[-1.21012347e+00  1.43716594e-10],[-3.86708858e-02  1.32253369e-13],[-9.95688292e-01  3.03813440e-11],[-1.21012347e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17553,[-6.77959824e-25 -1.16219353e-25],[-1.21000246e+00  1.43716594e-10],[-3.86598491e-02  1.32253369e-13],[-9.95577658e-01  3.03813440e-11],[-1.21000246e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17554,[-6.77959824e-25 -1.16219353e-25],[-1.20988146e+00  1.43716594e-10],[-3.86488156e-02  1.32253369e-13],[-9.95467037e-01  3.03813440e-11],[-1.20988146e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17555,[-6.77959824e-25 -1.16219353e-25],[-1.20976047e+00  1.43716594e-10],[-3.86377851e-02  1.32253369e-13],[-9.95356428e-01  3.03813440e-11],[-1.20976047e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17556,[-6.77959824e-25 -1.16219353e-25],[-1.20963950e+00  1.43716594e-10],[-3.86267579e-02  1.32253369e-13],[-9.95245832e-01  3.03813440e-11],[-1.20963950e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17557,[-6.77959824e-25 -1.16219353e-25],[-1.20951853e+00  1.43716594e-10],[-3.86157338e-02  1.32253369e-13],[-9.95135248e-01  3.03813440e-11],[-1.20951853e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
