epoch train_loss test_loss  accuracy
1.6431672376729896  1.6596506968298679 0.3274
1.6424223505602598  1.658836387763618 0.3274
1.6414944781397107  1.6580045600613087 0.3277
1.6406790090448595  1.6571922007216893 0.3279
1.639818820949387  1.6563820045703876 0.3282
1.6389936798907945  1.6555648796285976 0.3293
1.6382580827081676  1.6547738167048391 0.3301
1.6374846637047638  1.6539792735483358 0.331
1.6367093630532423  1.6531918486425194 0.3312
1.6359191445623076  1.6524058636616712 0.3325
1.6351815627914583  1.6516306768652376 0.3331
1.6345284658617352  1.6508697409166453 0.3355
1.6338409207416085  1.650118704320063 0.3374
1.632991867773405  1.649369426371564 0.3373
1.6322421551010649  1.6486322932655428 0.3387
1.6314629002878505  1.647898869520209 0.3402
1.6307329968408688  1.6471784399368277 0.3408
1.6299213444090475  1.6464565150929564 0.3415
1.6291582762138852  1.6457520396553071 0.3422
1.6284413950402419  1.6450375358340847 0.3433
1.6277035825681427  1.644333424668435 0.3441
1.6270291809251638  1.6436445402239104 0.3451
1.6263698052141013  1.6429515116383475 0.3458
1.6256708798811805  1.642267317829016 0.3468
1.6250687252337268  1.6416066804103961 0.3475
1.6243681613587306  1.6409348573913525 0.3478
1.6237042986638606  1.6402804424484425 0.3485
1.623056885068791  1.6396257536662775 0.3493
1.6223512951927723  1.6389761074263085 0.3494
1.6216735189527711  1.6383307201958024 0.3505
1.6210514284964344  1.6376866205243652 0.3516
1.6204640277251634  1.637056295227078 0.351
1.6198785389433856  1.636437200542505 0.3516
1.619330867437948  1.6358275233982036 0.3518
1.618736916928082  1.63521615390438 0.3517
1.6181645090968413  1.6346073346988148 0.3525
1.6176579732212417  1.634006212218339 0.3526
1.6170530821131874  1.6334176440016097 0.3535
1.6163641868724945  1.6328222964591979 0.3542
1.6157756038611428  1.6322395559953407 0.3544
1.6151512190396764  1.6316710961998582 0.3549
1.614477746217896  1.6311000756776564 0.3559
1.6138724079900733  1.6305486212291274 0.356
1.6133015696462027  1.6300094320951297 0.3569
1.6127342162382892  1.6294747823319997 0.3585
1.6120845910187487  1.6289378903825122 0.3591
1.6113945524401652  1.6284104732002753 0.3593
1.6107672775489856  1.6278936592102728 0.3596
1.610131727441086  1.627375577124648 0.3601
1.6095340271516914  1.6268737835726155 0.3622
1.6088097119478408  1.6263656013072196 0.3631
1.608078854305079  1.6258605686036665 0.364
1.60733671820607  1.6253593324324178 0.3646
1.6066560575700324  1.6248678715468636 0.365
1.6059348423243343  1.6243819190610487 0.3656
1.6053071797588283  1.623906898859876 0.3666
1.604663792389456  1.6234313886357548 0.3665
1.603948478470917  1.6229543798341473 0.3674
1.6032600652384776  1.6224775900558717 0.3681
1.602628916450021  1.6220043543223324 0.3693
1.6019762960347175  1.6215273716479703 0.3695
1.6013418499394285  1.6210596109610809 0.3704
1.6006949716458152  1.6206019306013113 0.371
1.6000336017400738  1.6201487959669862 0.3721
1.5994029890371975  1.6196981788581797 0.3727
1.5987833375090788  1.6192517237220052 0.3728
1.598201545158962  1.6188142921835982 0.3737
1.5975919852542189  1.6183684323991752 0.3743
1.597081117154297  1.617940262303292 0.3745
1.5965903422054322  1.6175195740832724 0.3743
1.59605427837187  1.6170911218539052 0.375
1.5955361468658167  1.6166770982805574 0.3758
1.595046147380617  1.6162666898160694 0.3762
1.5944988346575404  1.6158524432678207 0.3769
1.59397119929264  1.6154552724900673 0.3775
1.5934292600987192  1.615051634760686 0.3782
1.5928860479234797  1.6146607885375008 0.3785
1.5924066325378607  1.6142677867037536 0.3787
1.5918208749309095  1.6138708199568048 0.3791
1.5912614797863867  1.6134811481858986 0.3798
1.5908062206535574  1.6130922630248303 0.3797
1.5902846260660033  1.6127053258000486 0.3803
1.5897316758939948  1.6123141887891124 0.3807
1.5892624666880837  1.6119417242701408 0.3815
1.5887093858288786  1.6115702560808205 0.3822
1.588241435592308  1.6112080889676477 0.3826
1.5877196720313531  1.6108429541473903 0.3827
1.5872618916889463  1.6104881286050239 0.3831
1.586675830030669  1.6101334904459055 0.3833
1.5861084195095578  1.6097780591768136 0.3835
1.585582009587048  1.609434532716117 0.3839
1.5851116377256573  1.6090980167068338 0.384
1.584556266341739  1.6087479111595404 0.3844
1.58392503742757  1.6084060954644308 0.3847
1.5834049398208798  1.6080673973693846 0.385
1.5828305590090752  1.6077291017225477 0.3848
1.5823767618720723  1.6073956734940076 0.385
1.581843702509423  1.6070544223810106 0.3849
1.5813832343820458  1.606720537231264 0.3854
1.5809025970782997  1.606379786456636 0.3854
1.5803768936711553  1.6060484466823681 0.3854
1.5799332366089072  1.605725535542556 0.3853
1.5794554919523296  1.6053914812376298 0.3859
1.5788937481116554  1.60505495752972 0.3858
1.5784777610777352  1.604742771099495 0.3863
1.5780280103068371  1.6044265265789683 0.3861
1.5775499153262074  1.6041198271628776 0.3859
1.5770640104574498  1.6038095101081686 0.3863
1.5765141210572777  1.6034983477956828 0.3867
1.5760248720235228  1.6031967575067338 0.3866
1.5755373806710635  1.6028948007685284 0.3867
1.5750357654567884  1.602593351317404 0.3871
1.574625776354198  1.6023047739512533 0.3873
1.5741784398447802  1.6020117529124984 0.3877
1.5737161179164578  1.6017232866718814 0.3876
1.5733230350980112  1.6014497654640742 0.3879
1.5728520335807665  1.6011701546669193 0.3881
1.5723499029393408  1.6008890490814094 0.3883
1.5718757189245076  1.6006185750368138 0.3884
1.5713599899565385  1.6003423787670243 0.3892
1.5709530712000948  1.6000828365570772 0.3896
1.5704433075897264  1.5998219143088988 0.3901
1.569933556007274  1.5995582910917738 0.391
1.569465298802342  1.5992983772725122 0.3913
1.5690653323826957  1.5990547924937888 0.3914
1.568624410807294  1.5988025615059513 0.3914
1.5682129992430587  1.5985542297954431 0.3918
1.5678079264322726  1.5983027486989905 0.3916
1.5674057601492641  1.598060178332739 0.3917
1.5669808621059087  1.5978133385298043 0.3916
1.5665754124719486  1.597575003176264 0.3922
1.566232843033088  1.5973357006910278 0.3921
1.5658173193684073  1.5970973198538605 0.3917
1.5655078514641978  1.5968655174006527 0.392
1.565128115000866  1.5966333271539543 0.3923
1.5647343898288781  1.5964039271566446 0.3927
1.5643656877658987  1.5961733727423757 0.393
1.5639774724360629  1.595943337872817 0.3933
1.5636770989021809  1.5957248665751285 0.3935
1.5632824294357708  1.5954971979049686 0.3936
1.5628924111011766  1.595271808334161 0.3937
1.5625187321410532  1.5950478084782609 0.3938
1.5621632716978862  1.594826568707324 0.3937
1.5617903647628324  1.5946070397965806 0.3936
1.561436665448105  1.594392762634524 0.3932
1.5611181088524753  1.594182413860757 0.3929
1.5608610340732654  1.5939763446054804 0.393
1.5605352551230258  1.5937722547535822 0.3931
1.5601945420207575  1.5935687520842368 0.3934
1.559847804768615  1.593366310461472 0.3934
1.5594957974983323  1.5931662982481583 0.3934
1.5592213425891888  1.592974180137196 0.3936
1.5588363079191037  1.5927790675121074 0.3934
1.55844223025921  1.5925862106749133 0.3931
